日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2022-01-07,4114322.0,2154042495.0,531.0,542.0,503.0,526.0,X0.00,4082.0
2022-01-10,2273666.0,1226951620.0,522.0,558.0,521.0,556.0,+30.00,2467.0
2022-01-11,3017765.0,1724595429.0,551.0,590.0,551.0,580.0,+24.00,3210.0
2022-01-12,1399597.0,802703081.0,576.0,584.0,566.0,577.0,-3.00,1688.0
2022-01-13,1417734.0,802366391.0,577.0,578.0,555.0,565.0,-12.00,1686.0
2022-01-14,2276067.0,1265956404.0,560.0,576.0,530.0,568.0,+3.00,2235.0
2022-01-17,4071087.0,2466380679.0,584.0,624.0,582.0,624.0,+56.00,3760.0
2022-01-18,5497844.0,3582662677.0,628.0,680.0,618.0,666.0,+42.00,5977.0
2022-01-19,2539642.0,1693460340.0,650.0,680.0,645.0,678.0,+12.00,3306.0
2022-01-20,2507105.0,1690664160.0,670.0,690.0,651.0,679.0,+1.00,3324.0
2022-01-21,2263098.0,1495331380.0,655.0,676.0,650.0,655.0,-24.00,3256.0
2022-01-24,1982183.0,1272156996.0,646.0,665.0,613.0,658.0,+3.00,2409.0
2022-01-25,2403807.0,1556441342.0,642.0,667.0,635.0,636.0,-22.00,2447.0
2022-01-26,1416207.0,891953064.0,639.0,643.0,614.0,626.0,-10.00,2025.0
2022-02-07,1951435.0,1272544148.0,641.0,676.0,630.0,661.0,+35.00,2405.0
2022-02-08,1635353.0,1089483033.0,660.0,680.0,648.0,680.0,+19.00,2135.0
2022-02-09,1699958.0,1150493543.0,698.0,699.0,665.0,667.0,-13.00,2255.0
2022-02-10,747025.0,495931188.0,665.0,677.0,654.0,654.0,-13.00,1128.0
2022-02-11,724249.0,468136154.0,647.0,655.0,640.0,643.0,-11.00,1161.0
2022-02-14,1784099.0,1091088498.0,626.0,633.0,597.0,598.0,-45.00,2925.0
2022-02-15,1340986.0,829111982.0,607.0,628.0,607.0,617.0,+19.00,1535.0
2022-02-16,1572918.0,1010550678.0,630.0,655.0,623.0,647.0,+30.00,2023.0
2022-02-17,1115965.0,708355219.0,641.0,641.0,628.0,630.0,-17.00,1490.0
2022-02-18,808888.0,498885209.0,610.0,627.0,610.0,618.0,-12.00,1464.0
2022-02-21,1196385.0,718844351.0,608.0,611.0,590.0,605.0,-13.00,1878.0
2022-02-22,2190152.0,1265570002.0,589.0,602.0,560.0,573.0,-32.00,3394.0
2022-02-23,759565.0,443664204.0,578.0,596.0,570.0,590.0,+17.00,1244.0
2022-02-24,1161299.0,660167520.0,571.0,582.0,560.0,560.0,-30.00,2059.0
2022-02-25,1682424.0,999289622.0,583.0,603.0,583.0,596.0,+36.00,2267.0
