日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2013-12-25,6705200.0,318411150.0,42.0,52.5,42.0,51.9,X0.00,4681.0
2013-12-26,3386300.0,162436893.0,48.0,50.0,46.0,47.15,-4.75,2150.0
2013-12-27,2547010.0,116526400.0,47.45,47.6,44.4,45.7,-1.45,1746.0
2013-12-30,1851000.0,85539450.0,46.0,47.05,45.05,45.95,+0.25,1190.0
2013-12-31,1063010.0,48619549.0,46.5,46.55,45.2,45.25,-0.70,736.0
2014-01-02,932110.0,42020443.0,45.25,45.95,44.55,44.7,-0.55,635.0
2014-01-03,1167115.0,50788192.0,44.5,44.9,42.9,43.0,-1.70,847.0
2014-01-06,1260000.0,51850200.0,43.0,43.55,40.05,40.05,-2.95,876.0
2014-01-07,627000.0,26588050.0,41.5,42.85,40.9,42.85,+2.80,350.0
2014-01-08,1855172.0,82145518.0,43.95,45.0,43.6,44.0,+1.15,1203.0
2014-01-09,618500.0,26364624.0,42.6,43.7,41.75,41.75,-2.25,490.0
2014-01-10,399001.0,16748393.0,42.55,42.9,41.5,41.8,+0.05,293.0
2014-01-13,1309055.0,57632463.0,42.4,44.7,41.8,43.95,+2.15,808.0
2014-01-14,689025.0,29180450.0,43.3,43.3,42.0,42.5,-1.45,506.0
2014-01-15,351000.0,14801450.0,42.5,42.8,42.0,42.2,-0.30,243.0
2014-01-16,422210.0,17509799.0,42.2,42.55,41.0,41.15,-1.05,327.0
2014-01-17,357385.0,14616212.0,41.15,41.45,40.7,40.8,-0.35,235.0
2014-01-20,362185.0,14634943.0,41.4,41.4,40.05,40.55,-0.25,277.0
2014-01-21,278500.0,11230074.0,40.6,40.95,40.05,40.1,-0.45,213.0
2014-01-22,255280.0,10266662.0,40.1,40.6,40.0,40.2,+0.10,173.0
2014-01-23,242000.0,9717950.0,40.6,40.6,40.0,40.2, 0.00,176.0
2014-01-24,348230.0,13667077.0,40.2,40.2,38.35,39.0,-1.20,293.0
2014-01-27,208698.0,7962772.0,38.6,38.6,38.0,38.1,-0.90,150.0
2014-02-05,275000.0,10618200.0,37.8,39.6,37.5,38.7,+0.60,185.0
2014-02-06,114100.0,4419820.0,38.8,39.0,38.55,38.6,-0.10,98.0
2014-02-07,170401.0,6713908.0,39.5,39.7,38.9,39.55,+0.95,142.0
2014-02-10,156451.0,6206864.0,39.9,40.0,39.3,39.3,-0.25,124.0
2014-02-11,170100.0,6575424.0,39.3,39.3,38.3,39.1,-0.20,131.0
2014-02-12,183140.0,7076526.0,39.2,39.2,38.5,38.6,-0.50,135.0
2014-02-13,424300.0,16941400.0,38.6,41.0,38.5,40.1,+1.50,326.0
2014-02-14,236150.0,9350890.0,40.4,40.4,39.15,39.15,-0.95,163.0
2014-02-17,119100.0,4652110.0,39.3,39.5,38.7,39.0,-0.15,83.0
2014-02-18,130000.0,5083500.0,38.8,39.5,38.8,39.2,+0.20,96.0
2014-02-19,951647.0,39525259.0,39.4,41.9,39.4,41.9,+2.70,503.0
2014-02-20,1479356.0,63198795.0,43.1,43.5,42.05,42.7,+0.80,948.0
2014-02-21,642230.0,27144271.0,42.85,43.1,41.55,42.3,-0.40,423.0
2014-02-24,587000.0,24967900.0,42.8,42.8,42.2,42.7,+0.40,303.0
2014-02-25,1519495.0,66806875.0,43.0,45.5,42.8,45.0,+2.30,915.0
2014-02-26,1185000.0,53399100.0,45.0,45.9,44.15,45.15,+0.15,745.0
2014-02-27,1337100.0,60911900.0,45.15,46.3,44.55,44.55,-0.60,748.0
2014-03-03,516250.0,22577287.0,44.4,44.4,43.5,43.6,-0.95,328.0
2014-03-04,1042000.0,46538150.0,43.25,45.5,43.25,44.5,+0.90,625.0
