日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010-01-04,89699.0,843130.0,9.01,9.5,9.01,9.39,+0.15,40.0
2010-01-05,127000.0,1158700.0,9.35,9.48,8.93,9.19,-0.20,37.0
2010-01-06,132781.0,1208570.0,9.19,9.19,9.0,9.0,-0.19,38.0
2010-01-07,175500.0,1586645.0,9.03,9.11,9.02,9.02,+0.02,41.0
2010-01-08,122356.0,1108528.0,9.02,9.19,9.02,9.18,+0.16,46.0
2010-01-11,102106.0,936031.0,9.18,9.28,9.03,9.22,+0.04,35.0
2010-01-12,160343.0,1459474.0,9.22,9.25,9.05,9.23,+0.01,34.0
2010-01-13,431000.0,3957820.0,9.2,9.3,9.13,9.18,-0.05,51.0
2010-01-14,99410.0,913941.0,9.18,9.22,9.18,9.22,+0.04,19.0
2010-01-15,187416.0,1728565.0,9.22,9.27,9.21,9.27,+0.05,60.0
2010-01-18,171500.0,1566359.0,9.11,9.34,9.07,9.21,-0.06,71.0
2010-01-19,119086.0,1089401.0,9.21,9.25,9.12,9.25,+0.04,28.0
2010-01-20,56232.0,515344.0,9.25,9.25,9.13,9.23,-0.02,18.0
2010-01-21,162000.0,1487930.0,9.11,9.25,9.11,9.23, 0.00,37.0
2010-01-22,193375.0,1714742.0,9.18,9.18,8.61,9.17,-0.06,49.0
2010-01-25,154050.0,1389485.0,9.1,9.19,8.71,9.18,+0.01,53.0
2010-01-26,170836.0,1530440.0,9.12,9.12,8.92,8.93,-0.25,57.0
2010-01-27,128060.0,1137764.0,8.9,9.12,8.82,9.11,+0.18,38.0
2010-01-28,250664.0,2291621.0,9.11,9.28,8.9,9.13,+0.02,54.0
2010-01-29,231000.0,2121490.0,9.13,9.35,8.95,9.15,+0.02,44.0
2010-02-01,209550.0,1923063.0,9.15,9.25,9.13,9.14,-0.01,47.0
2010-02-02,81000.0,737800.0,9.14,9.2,9.02,9.16,+0.02,28.0
2010-02-03,124000.0,1139020.0,9.17,9.23,9.16,9.2,+0.04,22.0
2010-02-04,91000.0,834130.0,9.2,9.24,9.12,9.16,-0.04,17.0
2010-02-05,265000.0,2400170.0,9.16,9.2,8.81,9.16, 0.00,47.0
2010-02-06,185000.0,1691210.0,9.16,9.2,9.06,9.19,+0.03,36.0
2010-02-08,142500.0,1295764.0,9.19,9.2,8.87,8.88,-0.31,38.0
2010-02-09,66000.0,591820.0,8.9,9.17,8.9,9.1,+0.22,15.0
2010-02-10,115000.0,1053479.0,9.18,9.27,9.1,9.27,+0.17,32.0
2010-02-22,84022.0,780732.0,9.27,9.37,9.26,9.27, 0.00,23.0
2010-02-23,113000.0,1058320.0,9.28,9.41,9.28,9.35,+0.08,30.0
2010-02-24,88000.0,827810.0,9.4,9.48,9.32,9.35, 0.00,18.0
2010-02-25,205501.0,1941639.0,9.35,9.5,9.35,9.41,+0.06,41.0
2010-02-26,107070.0,1013508.0,9.38,9.6,9.38,9.5,+0.09,28.0
2010-03-01,439100.0,4159080.0,9.4,9.57,9.21,9.51,+0.01,52.0
2010-03-02,104400.0,997039.0,9.51,9.69,9.51,9.69,+0.18,26.0
2010-03-03,661527.0,6719460.0,10.0,10.35,9.77,10.15,+0.46,130.0
2010-03-04,1411743.0,14575728.0,10.45,10.7,9.95,10.25,+0.10,148.0
2010-03-05,813749.0,8172454.0,10.4,10.4,9.95,10.0,-0.25,97.0
2010-03-08,743559.0,7538695.0,10.1,10.2,10.0,10.15,+0.15,77.0
2010-03-09,632226.0,6346517.0,10.15,10.15,9.83,10.0,-0.15,62.0
2010-03-10,392050.0,3917750.0,9.87,10.2,9.87,10.1,+0.10,48.0
2010-03-11,314500.0,3142310.0,9.96,10.1,9.96,10.1, 0.00,33.0
2010-03-12,222700.0,2223720.0,9.98,10.15,9.97,9.98,-0.12,46.0
2010-03-15,160550.0,1609470.0,9.96,10.2,9.9,10.05,+0.07,34.0
2010-03-16,186317.0,1844485.0,9.91,9.92,9.86,9.86,-0.19,21.0
2010-03-17,162006.0,1637261.0,10.0,10.3,10.0,10.25,+0.39,53.0
2010-03-18,75185.0,774067.0,10.25,10.5,10.15,10.25, 0.00,30.0
2010-03-19,113999.0,1169039.0,10.25,10.35,10.2,10.35,+0.10,34.0
2010-03-22,115999.0,1199738.0,10.25,10.45,10.25,10.35, 0.00,40.0
2010-03-23,73925.0,770334.0,10.35,10.5,10.35,10.35, 0.00,26.0
2010-03-24,99409.0,1039102.0,10.35,10.55,10.35,10.5,+0.15,36.0
2010-03-25,186551.0,1974880.0,10.5,10.7,10.5,10.5, 0.00,42.0
2010-03-26,133551.0,1402024.0,10.5,10.7,10.4,10.4,-0.10,42.0
2010-03-29,123150.0,1297960.0,10.4,10.6,10.4,10.5,+0.10,35.0
