日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010-01-04,2289157.0,140371542.0,62.0,62.4,60.5,60.8,-1.20,954.0
2010-01-05,2602576.0,156155369.0,61.5,61.5,58.8,59.2,-1.60,973.0
2010-01-06,2065434.0,123941393.0,59.2,60.6,59.2,60.2,+1.00,738.0
2010-01-07,2300118.0,136431099.0,60.8,60.8,58.4,58.5,-1.70,983.0
2010-01-08,1698443.0,99336156.0,58.5,59.1,57.8,58.9,+0.40,612.0
2010-01-11,886056.0,52032404.0,59.0,59.1,58.3,58.9, 0.00,398.0
2010-01-12,979845.0,57511779.0,58.9,59.1,58.3,58.8,-0.10,410.0
2010-01-13,1485687.0,87249297.0,58.2,59.7,57.9,59.4,+0.60,666.0
2010-01-14,3355602.0,202871620.0,60.0,61.0,59.8,60.3,+0.90,1376.0
2010-01-15,3681614.0,227364265.0,61.3,62.6,61.0,61.0,+0.70,1388.0
2010-01-18,1529859.0,91949651.0,60.5,60.7,59.8,59.9,-1.10,666.0
2010-01-19,1496229.0,88582253.0,60.1,60.2,58.7,59.0,-0.90,662.0
2010-01-20,797606.0,46989408.0,59.1,59.5,58.5,58.6,-0.40,379.0
2010-01-21,975795.0,57174063.0,58.3,59.0,58.2,58.9,+0.30,437.0
2010-01-22,899266.0,52322179.0,58.0,58.5,57.8,58.1,-0.80,383.0
2010-01-25,585008.0,34104163.0,58.1,59.2,57.5,58.6,+0.50,331.0
2010-01-26,1741859.0,97998785.0,59.0,59.0,54.5,55.0,-3.60,753.0
2010-01-27,1607738.0,85201583.0,55.0,55.0,51.2,51.2,-3.80,723.0
2010-01-28,1494186.0,78115198.0,51.2,54.0,50.8,53.0,+1.80,794.0
2010-01-29,758506.0,39158010.0,51.0,52.5,50.8,52.0,-1.00,387.0
2010-02-01,365210.0,18960734.0,52.0,52.5,51.5,51.9,-0.10,233.0
2010-02-02,967631.0,50970662.0,52.9,54.0,51.9,52.4,+0.50,584.0
2010-02-03,636303.0,33795718.0,53.2,53.8,52.4,53.2,+0.80,360.0
2010-02-04,1884799.0,103481283.0,53.8,56.0,53.0,55.1,+1.90,1043.0
2010-02-05,1461396.0,78669564.0,53.5,55.1,52.5,54.0,-1.10,708.0
2010-02-06,669406.0,35620601.0,54.0,54.4,51.6,53.5,-0.50,372.0
2010-02-08,833669.0,45494726.0,53.5,55.3,53.1,54.3,+0.80,558.0
2010-02-09,705139.0,38637345.0,54.3,55.1,54.0,54.8,+0.50,399.0
2010-02-10,1088107.0,60205114.0,55.9,56.0,54.5,54.8, 0.00,592.0
2010-02-22,968213.0,54720182.0,56.5,57.1,55.8,55.8,+1.00,471.0
2010-02-23,541786.0,30317016.0,56.2,56.3,55.4,55.8, 0.00,261.0
2010-02-24,440660.0,24624360.0,55.2,56.3,55.2,56.0,+0.20,248.0
2010-02-25,2260224.0,127629798.0,56.6,57.3,55.1,55.3,-0.70,1176.0
2010-02-26,1430203.0,78972085.0,55.5,56.0,54.3,55.1,-0.20,655.0
2010-03-01,1088776.0,59740022.0,54.7,55.2,54.5,54.9,-0.20,582.0
2010-03-02,1603268.0,87153072.0,55.0,55.3,53.8,53.8,-1.10,805.0
2010-03-03,834116.0,45163064.0,53.8,54.6,53.8,54.1,+0.30,413.0
2010-03-04,1097179.0,58980110.0,54.3,54.5,53.0,53.4,-0.70,489.0
2010-03-05,1349553.0,73239226.0,53.8,54.7,53.8,54.0,+0.60,511.0
2010-03-08,1967110.0,108493183.0,54.5,55.5,54.5,55.2,+1.20,816.0
2010-03-09,1301263.0,71326665.0,55.2,55.2,54.5,55.0,-0.20,532.0
2010-03-10,956299.0,52653012.0,55.0,55.4,54.7,54.7,-0.30,455.0
2010-03-11,1732548.0,96736648.0,55.2,56.2,55.0,55.5,+0.80,920.0
2010-03-12,883306.0,49254852.0,56.0,56.1,55.2,55.7,+0.20,537.0
2010-03-15,1150203.0,63919103.0,55.7,56.2,55.0,55.0,-0.70,438.0
2010-03-16,991204.0,53686795.0,54.8,54.8,53.8,54.3,-0.70,418.0
2010-03-17,955750.0,51989798.0,54.0,54.8,54.0,54.4,+0.10,479.0
2010-03-18,1291857.0,71311760.0,54.8,55.6,54.6,55.1,+0.70,582.0
2010-03-19,777237.0,42890636.0,55.6,55.6,54.6,54.6,-0.50,400.0
2010-03-22,2606445.0,145959440.0,54.6,56.9,54.1,56.5,+1.90,1256.0
2010-03-23,2657938.0,151750529.0,57.0,58.1,55.7,55.8,-0.70,1073.0
2010-03-24,796221.0,44690997.0,56.5,56.6,55.6,55.6,-0.20,392.0
2010-03-25,686649.0,37869123.0,55.9,55.9,54.8,54.8,-0.80,343.0
2010-03-26,746126.0,41192041.0,54.8,55.6,54.8,55.0,+0.20,327.0
2010-03-29,768620.0,42382259.0,55.8,55.8,54.9,55.0, 0.00,383.0
2010-03-30,846969.0,46519997.0,55.4,55.4,54.6,54.6,-0.40,356.0
2010-03-31,547067.0,29942063.0,54.6,55.0,54.4,55.0,+0.40,261.0
2010-04-01,856431.0,46943699.0,55.3,55.4,54.6,54.6,-0.40,384.0
2010-04-02,1158027.0,64284292.0,54.7,55.9,54.6,55.4,+0.80,566.0
2010-04-06,987881.0,54906414.0,55.9,56.0,55.3,55.3,-0.10,420.0
2010-04-07,1990792.0,112557552.0,55.5,57.3,55.5,56.0,+0.70,950.0
2010-04-08,1235179.0,69298216.0,56.5,56.8,55.2,55.5,-0.50,604.0
2010-04-09,661805.0,36964411.0,56.0,56.3,55.4,55.6,+0.10,347.0
2010-04-12,849497.0,48008879.0,56.3,57.0,56.0,56.3,+0.70,426.0
2010-04-13,912656.0,50623946.0,56.8,56.8,54.8,54.9,-1.40,456.0
2010-04-14,426600.0,23607098.0,54.9,55.7,54.9,55.4,+0.50,234.0
2010-04-15,1086354.0,60686974.0,56.2,56.2,55.5,55.6,+0.20,434.0
2010-04-16,1336899.0,75034162.0,55.8,56.7,55.8,55.8,+0.20,608.0
2010-04-19,2740173.0,153221996.0,55.5,57.2,54.8,55.0,-0.80,1116.0
2010-04-20,1796450.0,99008053.0,55.5,56.4,54.2,56.2,+1.20,810.0
2010-04-21,2198718.0,124716849.0,56.8,57.3,56.2,56.3,+0.10,1001.0
2010-04-22,953474.0,53779526.0,56.3,56.9,55.9,56.6,+0.30,505.0
