日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2010-01-04,29620853.0,946071127.0,32.5,32.7,31.05,31.7,-1.00,7618.0
2010-01-05,44158727.0,1450863898.0,31.9,33.9,31.45,32.65,+0.95,9960.0
2010-01-06,31016888.0,1042469633.0,32.9,34.0,32.9,33.65,+1.00,7410.0
2010-01-07,28764274.0,958499204.0,33.65,34.3,32.75,32.8,-0.85,7464.0
2010-01-08,27844132.0,883081749.0,32.55,32.7,31.2,32.0,-0.80,7287.0
2010-01-11,16958660.0,541815219.0,31.5,32.3,31.5,31.75,-0.25,4118.0
2010-01-12,38598146.0,1258891583.0,31.6,33.9,31.05,33.0,+1.25,7963.0
2010-01-13,25729491.0,838880912.0,32.1,33.45,32.0,32.0,-1.00,5644.0
2010-01-14,17287721.0,553235071.0,32.0,32.6,31.45,31.9,-0.10,4503.0
2010-01-15,28296240.0,941254030.0,32.5,34.1,32.3,33.9,+2.00,7604.0
2010-01-18,23327904.0,784558136.0,33.2,34.2,33.1,34.0,+0.10,5530.0
2010-01-19,28775372.0,929999218.0,33.5,33.8,31.65,31.95,-2.05,7788.0
2010-01-20,14854399.0,472451297.0,31.95,32.5,31.2,31.95, 0.00,4187.0
2010-01-21,33708692.0,1012707274.0,30.8,31.3,29.75,29.75,-2.20,9443.0
2010-01-22,18882974.0,545713861.0,28.15,29.5,28.15,28.9,-0.85,5502.0
2010-01-25,13567775.0,384616466.0,28.1,28.8,28.0,28.3,-0.60,3714.0
2010-01-26,20633445.0,583662433.0,28.9,29.2,27.5,27.6,-0.70,5049.0
2010-01-27,23717358.0,637292485.0,27.6,28.15,25.7,26.0,-1.60,5402.0
2010-01-28,18027380.0,476236062.0,26.3,27.15,25.7,27.05,+1.05,4560.0
2010-01-29,10935746.0,286926092.0,26.5,26.7,25.9,26.25,-0.80,2978.0
2010-02-01,9956773.0,266027586.0,26.75,27.1,26.45,26.6,+0.35,2780.0
2010-02-02,11114100.0,296687778.0,27.2,27.4,26.05,26.05,-0.55,2556.0
2010-02-03,8239003.0,218092388.0,26.5,26.9,26.0,26.5,+0.45,2131.0
2010-02-04,5908817.0,158332262.0,26.7,27.15,26.45,26.8,+0.30,1875.0
2010-02-05,13368810.0,335869825.0,25.3,25.9,24.95,24.95,-1.85,2866.0
2010-02-06,26149714.0,616828686.0,24.95,24.95,23.25,23.4,-1.55,4620.0
2010-02-08,11601519.0,269086914.0,23.9,23.9,22.9,22.95,-0.45,3184.0
2010-02-09,15853957.0,372886695.0,22.9,24.05,22.9,23.75,+0.80,4075.0
2010-02-10,19929519.0,494164832.0,24.2,25.4,24.05,25.4,+1.65,4606.0
2010-02-22,15321696.0,396328916.0,26.15,26.2,25.5,25.8,+0.40,3074.0
2010-02-23,10044787.0,255688766.0,25.5,26.0,24.95,25.35,-0.45,2462.0
2010-02-24,9196447.0,236551244.0,25.25,26.0,25.1,25.45,+0.10,2728.0
2010-02-25,17255295.0,423951630.0,25.55,25.6,23.9,23.9,-1.55,4713.0
2010-02-26,8497208.0,203248831.0,24.0,24.3,23.6,23.8,-0.10,2124.0
2010-03-01,11806476.0,296580918.0,24.6,25.45,24.3,25.45,+1.65,2650.0
2010-03-02,18594117.0,490618663.0,26.8,26.8,26.0,26.3,+0.85,4496.0
2010-03-03,13839686.0,358681028.0,26.3,26.5,25.55,25.9,-0.40,3496.0
2010-03-04,8724939.0,225148824.0,26.5,26.5,25.3,25.45,-0.45,2715.0
2010-03-05,7341745.0,190101300.0,25.7,26.1,25.7,25.9,+0.45,1900.0
2010-03-08,24035503.0,654699079.0,25.9,27.7,25.9,27.7,+1.80,5855.0
2010-03-09,19219309.0,535130346.0,27.85,28.15,27.4,27.9,+0.20,4789.0
2010-03-10,12324171.0,344871338.0,28.3,28.3,27.55,28.1,+0.20,3021.0
2010-03-11,23747851.0,694222423.0,28.45,30.0,28.45,29.25,+1.15,5925.0
2010-03-12,7934887.0,229490945.0,29.35,29.35,28.65,28.9,-0.35,2372.0
2010-03-15,7202277.0,207939818.0,29.5,29.5,28.55,28.6,-0.30,2117.0
2010-03-16,15173431.0,447836110.0,28.95,30.2,28.7,30.0,+1.40,4264.0
2010-03-17,22199726.0,675407534.0,30.8,31.0,30.05,30.5,+0.50,5896.0
2010-03-18,32230145.0,1026234605.0,30.75,32.6,30.5,32.1,+1.60,8769.0
2010-03-19,13741659.0,436712182.0,31.8,32.05,31.55,31.6,-0.50,4386.0
2010-03-22,20969619.0,651351062.0,31.4,31.9,30.7,30.95,-0.65,4519.0
2010-03-23,12720974.0,404745587.0,31.5,32.5,31.2,31.3,+0.35,3708.0
2010-03-24,26970802.0,831929017.0,31.8,32.2,29.8,30.05,-1.25,6787.0
2010-03-25,12625079.0,385354498.0,30.6,30.95,30.05,30.9,+0.85,3657.0
2010-03-26,11995618.0,368222153.0,31.0,31.2,30.2,30.65,-0.25,3922.0
2010-03-29,15163724.0,472447983.0,31.0,31.8,30.65,30.65, 0.00,3863.0
2010-03-30,11317883.0,352108557.0,31.5,31.5,30.7,30.8,+0.15,3300.0
2010-03-31,9058421.0,276523249.0,30.7,30.85,30.2,30.3,-0.50,2924.0
2010-04-01,11081710.0,342142706.0,30.5,31.2,30.5,30.8,+0.50,3546.0
2010-04-02,8242400.0,254499498.0,30.9,31.35,30.55,30.85,+0.05,2048.0
2010-04-06,19490568.0,609055834.0,31.0,31.7,30.85,31.6,+0.75,4462.0
2010-04-07,14277349.0,443948169.0,31.75,31.8,30.9,30.95,-0.65,3808.0
2010-04-08,10849710.0,332899715.0,30.9,31.3,30.3,30.55,-0.40,3053.0
2010-04-09,9591859.0,287813823.0,30.5,30.6,29.8,29.8,-0.75,3414.0
2010-04-12,10502350.0,321369810.0,30.2,30.95,30.1,30.75,+0.95,2856.0
2010-04-13,9536980.0,288133745.0,30.8,30.9,29.75,29.85,-0.90,2788.0
2010-04-14,21095676.0,610414638.0,29.3,29.5,28.7,28.85,-1.00,5617.0
2010-04-15,7470361.0,218342272.0,29.45,29.45,29.0,29.25,+0.40,2343.0
2010-04-16,10801158.0,313975837.0,29.3,29.5,28.65,28.8,-0.45,2809.0
2010-04-19,18584206.0,509712428.0,28.0,28.5,26.8,26.8,-2.00,5807.0
2010-04-20,9993997.0,270672169.0,27.0,27.3,26.95,27.0,+0.20,3014.0
2010-04-21,9692040.0,272488757.0,27.25,28.6,27.25,28.6,+1.60,3199.0
2010-04-22,14110213.0,410249710.0,28.5,29.8,28.3,29.6,+1.00,4086.0
2010-04-23,10687057.0,315318331.0,29.75,29.8,29.15,29.5,-0.10,2658.0
2010-04-26,10445474.0,308038996.0,29.75,30.0,29.2,29.25,-0.25,2742.0
2010-04-27,5274074.0,151239154.0,29.35,29.35,28.3,28.5,-0.75,1761.0
2010-04-28,8177784.0,230085165.0,27.5,28.85,27.3,28.5, 0.00,2294.0
2010-04-29,4600966.0,129765197.0,28.7,28.75,28.0,28.0,-0.50,1685.0
2010-04-30,6334689.0,177419778.0,28.2,28.55,27.55,27.65,-0.35,1904.0
2010-05-03,6456182.0,175885196.0,27.5,27.6,27.0,27.1,-0.55,1796.0
2010-05-04,5921463.0,162625583.0,27.2,27.75,27.2,27.35,+0.25,2183.0
2010-05-05,7577595.0,202041712.0,26.6,26.9,26.5,26.6,-0.75,2718.0
2010-05-06,9736367.0,251023276.0,26.6,26.85,24.8,25.5,-1.10,2977.0
2010-05-07,11420396.0,281345330.0,24.0,25.3,24.0,25.3,-0.20,3012.0
2010-05-10,6712724.0,177233140.0,25.5,27.05,25.5,27.05,+1.75,2387.0
2010-05-11,11687901.0,321235133.0,27.5,28.1,27.05,27.15,+0.10,3520.0
2010-05-12,6700551.0,181071973.0,27.5,27.5,26.6,26.65,-0.50,2032.0
2010-05-13,6986358.0,189980044.0,27.25,27.5,26.95,27.15,+0.50,1933.0
2010-05-14,3218269.0,87525665.0,27.0,27.4,26.95,27.2,+0.05,1051.0
2010-05-17,7062466.0,187035932.0,26.9,27.0,26.0,26.25,-0.95,1832.0
2010-05-18,14701973.0,372601326.0,26.25,26.25,24.85,25.15,-1.10,4078.0
2010-05-19,24230326.0,577556006.0,23.8,24.45,23.4,24.35,-0.80,5561.0
2010-05-20,10966364.0,269376505.0,24.45,25.0,24.3,24.35, 0.00,3061.0
2010-05-21,6930645.0,163810114.0,23.3,24.2,23.2,23.8,-0.55,2381.0
2010-05-24,6692968.0,163066683.0,24.45,24.6,24.0,24.4,+0.60,1774.0
2010-05-25,6917307.0,164917436.0,24.2,24.4,23.25,24.0,-0.40,2114.0
2010-05-26,11560566.0,288530176.0,24.3,25.65,24.0,25.65,+1.65,3091.0
2010-05-27,9209812.0,235195696.0,25.6,26.0,24.95,26.0,+0.35,2932.0
2010-05-28,8281367.0,215577443.0,26.45,26.45,25.55,25.9,-0.10,2679.0
2010-05-31,6064374.0,158544356.0,25.9,26.4,25.65,26.4,+0.50,1538.0
2010-06-01,4752484.0,122929031.0,26.0,26.25,25.6,25.6,-0.80,1298.0
2010-06-02,6001527.0,152602008.0,25.2,25.85,24.9,25.15,-0.45,1474.0
2010-06-03,5086445.0,131607362.0,26.0,26.2,25.65,25.7,+0.55,1785.0
2010-06-04,5021038.0,131002554.0,26.2,26.25,25.75,26.15,+0.45,1408.0
2010-06-07,3832496.0,96340135.0,25.2,25.35,24.85,25.35,-0.80,1276.0
2010-06-08,2413953.0,60840375.0,25.2,25.45,25.05,25.05,-0.30,774.0
2010-06-09,4672989.0,115218265.0,25.0,25.3,24.15,24.4,-0.65,1715.0
2010-06-10,4395698.0,108726710.0,24.8,25.0,24.4,25.0,+0.60,1123.0
2010-06-11,4256663.0,107516475.0,25.7,25.75,24.95,25.0, 0.00,1403.0
2010-06-14,3186752.0,80326745.0,25.25,25.35,25.0,25.0, 0.00,1157.0
2010-06-15,5689748.0,144435087.0,25.3,25.5,25.2,25.4,+0.40,1697.0
2010-06-17,21537045.0,572279001.0,25.8,27.1,25.7,26.8,+1.40,5167.0
2010-06-18,9062713.0,241811798.0,26.65,26.85,26.45,26.7,-0.10,2063.0
2010-06-21,9165699.0,247310162.0,27.0,27.2,26.75,27.0,+0.30,2341.0
2010-06-22,4470530.0,119787577.0,27.0,27.0,26.6,26.75,-0.25,1389.0
2010-06-23,10846949.0,292984332.0,27.0,27.3,26.75,26.9,+0.15,2707.0
2010-06-24,9643543.0,260004676.0,27.0,27.15,26.8,26.9, 0.00,1404.0
2010-06-25,5852254.0,156157499.0,26.7,26.95,26.5,26.6,-0.30,1652.0
2010-06-28,4874342.0,131350319.0,27.0,27.2,26.65,27.0,+0.40,1484.0
2010-06-29,10124681.0,271714802.0,27.45,27.6,26.3,26.65,-0.35,3077.0
2010-06-30,13629912.0,348560760.0,26.0,26.1,25.05,25.25,-1.40,3482.0
2010-07-01,9519958.0,235656446.0,25.2,25.25,24.5,24.6,-0.65,2362.0
2010-07-02,6042948.0,149608641.0,24.6,25.1,24.5,24.75,+0.15,1930.0
2010-07-05,3717151.0,93207866.0,24.6,25.3,24.6,25.2,+0.45,1105.0
2010-07-06,5992291.0,149309758.0,24.8,25.25,24.75,25.05,-0.15,1535.0
2010-07-07,4853336.0,121726166.0,25.15,25.35,24.9,24.9,-0.15,1396.0
2010-07-08,6068758.0,154333016.0,25.3,25.7,25.15,25.2,+0.30,1945.0
2010-07-09,5377755.0,134060318.0,25.3,25.4,24.75,25.0,-0.20,1739.0
2010-07-12,9269776.0,232467700.0,25.0,25.45,24.75,25.15,+0.15,2216.0
2010-07-13,6411025.0,159331733.0,25.0,25.35,24.6,24.7,-0.45,1896.0
2010-07-14,5282965.0,131692553.0,25.0,25.15,24.75,24.9,+0.20,1568.0
2010-07-15,3808289.0,94561255.0,24.8,25.0,24.7,24.8,-0.10,1612.0
2010-07-16,7257420.0,176604067.0,24.8,24.95,24.05,24.1,-0.70,2648.0
2010-07-19,3832051.0,93651630.0,23.9,24.7,23.85,24.6,+0.50,1304.0
2010-07-20,4488584.0,110944396.0,24.7,24.9,24.55,24.65,+0.05,1556.0
2010-07-21,6779574.0,168965009.0,24.8,25.2,24.65,24.8,+0.15,1658.0
2010-07-22,10107811.0,246196888.0,24.95,24.95,24.15,24.25,-0.55,2744.0
2010-07-23,8354490.0,203086298.0,24.35,24.65,24.15,24.25, 0.00,2570.0
2010-07-26,7971360.0,189486630.0,24.1,24.3,23.6,23.8,-0.45,2412.0
2010-07-27,20246641.0,461106460.0,23.7,23.7,22.2,22.35,-1.45,5845.0
2010-07-28,17490668.0,398672316.0,22.35,23.2,22.3,22.8,+0.45,4585.0
2010-07-29,13396923.0,297900604.0,22.85,22.95,22.05,22.2,-0.60,3923.0
2010-07-30,9633557.0,209534760.0,22.05,22.1,21.6,21.65,-0.55,2762.0
2010-08-02,7314241.0,160692014.0,21.8,22.1,21.8,22.0,+0.35,1960.0
2010-08-03,10884050.0,239429395.0,22.45,22.45,21.95,22.0, 0.00,2372.0
2010-08-04,4847145.0,106234857.0,22.0,22.2,21.75,21.8,-0.20,1490.0
2010-08-05,6776159.0,149644663.0,21.8,22.35,21.8,22.0,+0.20,1965.0
2010-08-06,4549530.0,100343606.0,22.2,22.3,21.9,22.0, 0.00,1416.0
2010-08-09,5547817.0,123426135.0,22.0,22.4,22.0,22.25,+0.25,1752.0
2010-08-10,7268452.0,160586094.0,22.4,22.4,21.95,22.15,-0.10,1478.0
2010-08-11,15113602.0,343996496.0,22.3,23.25,22.2,23.05,+0.90,4240.0
2010-08-12,10109417.0,233827469.0,22.85,23.4,22.8,23.1,+0.05,2834.0
2010-08-13,20152819.0,478439706.0,23.4,24.2,23.0,24.05,+0.95,5218.0
2010-08-16,7058252.0,167296463.0,24.0,24.0,23.5,23.55,-0.50,1862.0
2010-08-17,6196807.0,144261993.0,23.85,23.85,22.95,22.95,-0.60,1765.0
2010-08-18,9909410.0,224627197.0,22.8,23.05,22.35,22.4,-0.55,3023.0
2010-08-19,6573132.0,146841742.0,22.4,22.55,22.1,22.35,-0.05,2188.0
2010-08-20,7259407.0,160290304.0,22.1,22.3,21.95,22.05,-0.30,1691.0
2010-08-23,4893959.0,107765413.0,22.0,22.2,21.9,21.9,-0.15,1588.0
2010-08-24,5257176.0,116163805.0,22.1,22.35,21.95,22.0,+0.10,1513.0
2010-08-25,8531584.0,182321852.0,21.9,21.9,21.1,21.2,-0.80,2569.0
2010-08-26,10454537.0,214665287.0,21.2,21.3,20.2,20.45,-0.75,3072.0
2010-08-27,8403004.0,167593644.0,20.2,20.35,19.6,19.9,-0.55,2714.0
2010-08-30,8171643.0,159932707.0,20.2,20.2,19.15,19.15,-0.75,2192.0
2010-08-31,11047699.0,203620912.0,18.6,18.9,18.2,18.3,-0.85,2509.0
2010-09-01,6028327.0,113272862.0,18.45,19.1,18.4,18.8,+0.50,1918.0
2010-09-02,4175308.0,79177906.0,19.1,19.2,18.6,18.65,-0.15,1377.0
2010-09-03,9779746.0,190836057.0,18.8,19.95,18.8,19.95,+1.30,2848.0
2010-09-06,12452022.0,262472403.0,20.5,21.3,20.5,21.3,+1.35,3168.0
2010-09-07,12004651.0,256817837.0,21.55,21.95,20.75,21.05,-0.25,3314.0
2010-09-08,8487802.0,170682996.0,20.35,20.45,19.9,20.0,-1.05,2633.0
2010-09-09,4755279.0,95389294.0,20.25,20.5,19.7,19.9,-0.10,1491.0
2010-09-10,5119996.0,104236882.0,20.2,20.55,20.1,20.35,+0.45,1707.0
2010-09-13,5826656.0,118768259.0,20.55,20.6,20.1,20.6,+0.25,1685.0
2010-09-14,4521580.0,93461305.0,20.8,21.1,20.3,20.65,+0.05,1354.0
2010-09-15,5083508.0,103158904.0,20.5,20.55,20.0,20.5,-0.15,1704.0
2010-09-16,3597196.0,72344663.0,20.5,20.5,19.95,20.0,-0.50,1315.0
2010-09-17,6780014.0,134250873.0,19.75,20.15,19.5,19.5,-0.50,1960.0
2010-09-20,7164930.0,137266736.0,19.5,19.7,19.0,19.0,-0.50,2081.0
2010-09-21,8409140.0,165229286.0,19.1,19.95,19.1,19.8,+0.80,2445.0
2010-09-23,2998621.0,58879382.0,19.8,19.9,19.5,19.6,-0.20,1189.0
2010-09-24,2866440.0,56143597.0,19.7,19.75,19.4,19.75,+0.15,1012.0
2010-09-27,6174843.0,124511217.0,20.5,20.5,19.85,19.9,+0.15,2152.0
2010-09-28,2852893.0,56064635.0,19.9,19.9,19.55,19.6,-0.30,989.0
2010-09-29,11030953.0,222712660.0,19.7,20.6,19.7,20.15,+0.55,3773.0
2010-09-30,19464190.0,405723517.0,20.2,21.4,20.1,21.15,+1.00,5406.0
2010-10-01,6487124.0,134802659.0,21.1,21.15,20.55,20.8,-0.35,2181.0
2010-10-04,9536192.0,191137853.0,20.5,20.5,19.9,19.9,-0.90,2457.0
2010-10-05,8684729.0,168212680.0,19.2,19.6,19.2,19.3,-0.60,2601.0
2010-10-06,6289397.0,121395463.0,19.35,19.5,19.2,19.3, 0.00,1914.0
2010-10-07,8218030.0,161213720.0,19.3,19.9,19.25,19.6,+0.30,2343.0
2010-10-08,7387165.0,144435456.0,19.6,19.7,19.4,19.55,-0.05,1861.0
2010-10-11,5437276.0,105892262.0,19.65,19.65,19.25,19.5,-0.05,1400.0
2010-10-12,6252049.0,121138501.0,19.5,19.6,19.1,19.15,-0.35,1979.0
2010-10-13,8580553.0,163733150.0,19.15,19.3,18.9,19.05,-0.10,1855.0
2010-10-14,11230758.0,213955313.0,19.2,19.3,18.85,18.85,-0.20,2527.0
2010-10-15,10054528.0,185569238.0,18.85,18.95,18.2,18.25,-0.60,2860.0
2010-10-18,10960370.0,195216756.0,18.0,18.25,17.45,17.65,-0.60,2984.0
2010-10-19,4668086.0,83138606.0,17.7,18.0,17.6,17.9,+0.25,1688.0
2010-10-20,12808327.0,239103875.0,17.75,19.05,17.7,18.75,+0.85,3611.0
2010-10-21,8578972.0,159039791.0,18.5,18.85,18.3,18.3,-0.45,2648.0
2010-10-22,4723101.0,86657510.0,18.5,18.65,18.2,18.35,+0.05,1494.0
2010-10-25,3714384.0,68763789.0,18.45,18.65,18.4,18.65,+0.30,1275.0
2010-10-26,3266411.0,60616968.0,18.65,18.75,18.4,18.65, 0.00,1238.0
2010-10-27,2134760.0,39494973.0,18.65,18.75,18.3,18.4,-0.25,811.0
2010-10-28,4254278.0,78991714.0,18.55,18.75,18.4,18.55,+0.15,1477.0
2010-10-29,1944664.0,35826018.0,18.6,18.6,18.35,18.35,-0.20,649.0
2010-11-01,9147723.0,162774037.0,17.9,17.9,17.7,17.75,X0.00,2334.0
2010-11-02,10205618.0,175551990.0,17.6,17.7,17.0,17.0,-0.75,3020.0
2010-11-03,6350192.0,107223755.0,17.05,17.15,16.75,16.75,-0.25,2057.0
2010-11-04,9571595.0,163201853.0,16.75,17.3,16.75,16.9,+0.15,2667.0
2010-11-05,6219188.0,106239402.0,17.2,17.3,16.9,16.95,+0.05,1646.0
2010-11-08,6370304.0,105948913.0,16.95,17.0,16.45,16.45,-0.50,1900.0
2010-11-09,4316475.0,72000774.0,16.5,16.8,16.5,16.7,+0.25,1595.0
2010-11-10,4603591.0,76766928.0,16.7,16.8,16.6,16.7, 0.00,1582.0
2010-11-11,6498480.0,107909376.0,16.7,16.75,16.5,16.55,-0.15,2300.0
2010-11-12,9620478.0,158632003.0,16.55,16.6,16.45,16.45,-0.10,2812.0
2010-11-15,11798181.0,193406532.0,16.45,16.55,16.25,16.3,-0.15,2708.0
2010-11-16,24620007.0,384746174.0,16.25,16.3,15.25,15.3,-1.00,6592.0
2010-11-17,18506519.0,289257710.0,15.35,15.8,15.35,15.55,+0.25,4870.0
2010-11-18,6038264.0,93473775.0,15.7,15.7,15.35,15.4,-0.15,1942.0
2010-11-19,6003922.0,93165965.0,15.6,15.6,15.4,15.5,+0.10,1637.0
2010-11-22,6075751.0,94556014.0,15.55,15.65,15.45,15.55,+0.05,1613.0
2010-11-23,23576036.0,375025865.0,15.55,16.15,15.5,16.1,+0.55,4964.0
2010-11-24,41447250.0,674487027.0,16.25,16.35,16.15,16.3,+0.20,5375.0
2010-11-25,39736169.0,664360921.0,16.3,16.9,16.25,16.8,+0.50,7633.0
2010-11-26,16029913.0,264872601.0,16.8,16.8,16.25,16.25,-0.55,3736.0
2010-11-29,10735366.0,171274704.0,16.2,16.25,15.8,16.0,-0.25,2566.0
2010-11-30,11594672.0,184713353.0,15.85,16.15,15.8,15.8,-0.20,2133.0
2010-12-01,5666188.0,90901608.0,15.8,16.15,15.8,16.1,+0.30,1714.0
2010-12-02,4949075.0,80302334.0,16.3,16.35,16.15,16.15,+0.05,1546.0
2010-12-03,27702238.0,466689384.0,16.4,17.2,16.3,16.85,+0.70,6385.0
2010-12-06,10217444.0,170305797.0,16.9,17.1,16.45,16.6,-0.25,2521.0
2010-12-07,9227605.0,155832793.0,16.6,17.1,16.5,16.7,+0.10,2367.0
2010-12-08,9965954.0,163176246.0,16.5,16.5,16.3,16.35,-0.35,2591.0
2010-12-09,9363066.0,154816364.0,16.4,16.7,16.35,16.5,+0.15,2329.0
2010-12-10,17841894.0,299726473.0,16.5,17.05,16.5,16.7,+0.20,3473.0
2010-12-13,9084761.0,150723411.0,16.85,16.85,16.4,16.4,-0.30,1938.0
2010-12-14,6603924.0,108496968.0,16.5,16.6,16.3,16.35,-0.05,1584.0
2010-12-15,7862133.0,127828350.0,16.35,16.5,16.15,16.2,-0.15,1642.0
2010-12-16,7521251.0,120493416.0,16.05,16.15,15.9,16.1,-0.10,1619.0
2010-12-17,8251958.0,135323526.0,16.15,16.5,16.15,16.45,+0.35,1727.0
2010-12-20,5269568.0,86778186.0,16.55,16.6,16.4,16.45, 0.00,1275.0
2010-12-21,3931168.0,64729834.0,16.45,16.55,16.4,16.45, 0.00,902.0
2010-12-22,7028830.0,116413853.0,16.45,16.65,16.45,16.6,+0.15,1644.0
2010-12-23,11261044.0,187875987.0,16.6,16.9,16.55,16.6, 0.00,2173.0
2010-12-24,9760747.0,161615957.0,16.55,16.7,16.45,16.5,-0.10,1437.0
2010-12-27,4330874.0,71327392.0,16.45,16.65,16.4,16.4,-0.10,1205.0
2010-12-28,4863952.0,80156802.0,16.5,16.6,16.4,16.45,+0.05,1017.0
2010-12-29,5000455.0,82244720.0,16.6,16.6,16.4,16.4,-0.05,1357.0
2010-12-30,5683273.0,92593276.0,16.4,16.5,16.1,16.15,-0.25,1458.0
2010-12-31,4965911.0,80694200.0,16.2,16.35,16.2,16.25,+0.10,1152.0
2011-01-03,4866271.0,79777015.0,16.3,16.6,16.25,16.35,+0.10,1368.0
2011-01-04,42541638.0,729430628.0,16.6,17.45,16.6,16.8,+0.45,6722.0
2011-01-05,13140446.0,217098783.0,16.8,16.9,16.4,16.4,-0.40,2615.0
2011-01-06,39862353.0,672684466.0,16.4,17.1,16.4,16.8,+0.40,6540.0
2011-01-07,35681810.0,604391505.0,16.9,17.25,16.6,16.6,-0.20,6161.0
2011-01-10,7966452.0,131400253.0,16.6,16.8,16.4,16.4,-0.20,2083.0
2011-01-11,7572365.0,125408443.0,16.45,16.65,16.4,16.6,+0.20,2187.0
2011-01-12,12361730.0,201152737.0,16.6,16.7,16.1,16.25,-0.35,2751.0
2011-01-13,25499853.0,425847290.0,16.6,17.0,16.55,16.55,+0.30,4165.0
2011-01-14,6585361.0,108890265.0,16.55,16.75,16.4,16.4,-0.15,1927.0
2011-01-17,6221839.0,102354736.0,16.45,16.65,16.35,16.35,-0.05,1661.0
2011-01-18,27044738.0,453329035.0,16.4,17.05,16.4,16.6,+0.25,4983.0
2011-01-19,21636558.0,361776447.0,16.8,16.9,16.6,16.6, 0.00,3930.0
2011-01-20,8183992.0,135789332.0,16.6,16.75,16.5,16.5,-0.10,1768.0
2011-01-21,23520494.0,392473432.0,16.4,17.0,16.1,16.8,+0.30,4415.0
2011-01-24,17525196.0,289570413.0,16.8,16.8,16.25,16.25,-0.55,3746.0
