日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2011-10-05,1943300.0,65480798.0,34.95,35.0,31.8,31.8,X0.00,757.0
2011-10-06,510700.0,16589150.0,32.0,33.0,32.0,32.15,+0.35,306.0
2011-10-07,760850.0,26033024.0,32.9,35.3,32.6,34.5,+2.35,411.0
2011-10-11,450028.0,15603161.0,35.2,35.3,34.15,34.4,-0.10,263.0
2011-10-12,310400.0,10617569.0,34.8,34.8,33.7,33.8,-0.60,192.0
2011-10-13,164368.0,5505563.0,33.7,34.0,33.0,33.6,-0.20,117.0
2011-10-14,266077.0,8960320.0,33.35,33.9,33.35,33.7,+0.10,158.0
2011-10-17,347250.0,11776525.0,33.7,34.2,33.5,33.5,-0.20,164.0
2011-10-18,157065.0,5187160.0,33.45,33.9,32.65,33.2,-0.30,99.0
2011-10-19,243294.0,8081060.0,33.6,33.6,33.1,33.2, 0.00,118.0
2011-10-20,414550.0,13337750.0,33.1,33.2,31.7,31.9,-1.30,222.0
2011-10-21,367175.0,11443425.0,32.0,32.0,30.8,30.85,-1.05,187.0
2011-10-24,251811.0,7895230.0,31.0,31.8,31.0,31.3,+0.45,123.0
2011-10-25,353700.0,11051460.0,31.8,31.8,31.0,31.25,-0.05,150.0
2011-10-26,363359.0,11485159.0,31.25,32.0,31.2,31.8,+0.55,196.0
2011-10-27,812463.0,27542192.0,34.0,34.0,33.0,34.0,+2.20,389.0
2011-10-28,876660.0,30025490.0,35.0,35.2,33.55,33.75,-0.25,422.0
2011-10-31,849000.0,29577896.0,33.65,35.6,33.4,35.2,+1.45,497.0
2011-11-01,410010.0,14200996.0,35.0,35.0,34.3,35.0,-0.20,235.0
2011-11-02,314100.0,10704960.0,34.35,34.4,33.85,34.1,-0.90,185.0
2011-11-03,246000.0,8343000.0,33.8,34.5,33.6,33.6,-0.50,159.0
2011-11-04,308000.0,10341449.0,33.7,34.15,33.05,33.55,-0.05,199.0
2011-11-07,245206.0,8148966.0,33.8,33.8,33.1,33.1,-0.45,145.0
2011-11-08,250325.0,8206442.0,33.3,33.3,32.5,32.7,-0.40,158.0
2011-11-09,326117.0,10684460.0,32.8,33.2,32.15,32.15,-0.55,204.0
2011-11-10,612153.0,18703766.0,31.5,31.5,29.9,29.95,-2.20,303.0
2011-11-11,763000.0,22024846.0,30.05,30.2,27.9,28.55,-1.40,310.0
2011-11-14,590900.0,17089719.0,28.9,29.25,28.5,28.8,+0.25,240.0
2011-11-15,574100.0,16248028.0,28.8,28.8,27.9,28.3,-0.50,221.0
2011-11-16,526250.0,14485500.0,28.3,28.3,26.9,27.4,-0.90,246.0
