日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
2017-06-14,2332100.0,168706590.0,74.7,75.3,70.1,71.2,X0.00,1712.0
2017-06-15,827190.0,57342871.0,70.1,71.0,68.2,68.9,-2.30,615.0
2017-06-16,557000.0,39319000.0,69.5,71.9,69.0,71.3,+2.40,412.0
2017-06-19,678054.0,47124427.0,69.5,70.4,69.0,70.0,-1.30,492.0
2017-06-20,614300.0,42635950.0,70.0,70.0,69.0,69.0,-1.00,428.0
2017-06-21,390101.0,26970770.0,69.5,69.7,68.8,69.4,+0.40,268.0
2017-06-22,384000.0,26569400.0,69.4,69.7,68.8,69.4, 0.00,244.0
2017-06-23,134999.0,9368430.0,69.4,69.6,69.1,69.4, 0.00,119.0
2017-06-26,573000.0,40922500.0,69.6,72.3,69.5,71.3,+1.90,425.0
2017-06-27,243540.0,17153440.0,71.0,71.0,70.2,70.3,-1.00,179.0
2017-06-28,139500.0,9760600.0,70.0,70.3,69.6,70.0,-0.30,112.0
2017-06-29,125000.0,8762900.0,70.0,70.8,69.8,69.8,-0.20,94.0
2017-06-30,76190.0,5304590.0,69.5,70.0,69.5,70.0,+0.20,64.0
2017-07-03,98000.0,6821000.0,70.0,70.0,69.3,69.4,-0.60,68.0
2017-07-04,72000.0,5017900.0,70.0,70.0,69.5,69.5,+0.10,50.0
2017-07-05,173000.0,11928000.0,69.7,69.7,68.5,69.0,-0.50,129.0
2017-07-06,49000.0,3381600.0,69.6,69.6,68.8,68.9,-0.10,36.0
2017-07-07,105350.0,7280165.0,68.9,69.4,68.7,69.1,+0.20,68.0
2017-07-10,101950.0,7054344.0,69.3,69.5,69.0,69.0,-0.10,79.0
2017-07-11,131050.0,9040340.0,69.5,69.5,68.7,68.7,-0.30,84.0
2017-07-12,98000.0,6731200.0,68.6,68.9,68.6,68.8,+0.10,66.0
2017-07-13,158000.0,10784400.0,68.9,68.9,67.8,68.3,-0.50,125.0
2017-07-14,78000.0,5330400.0,68.3,68.5,68.2,68.3, 0.00,57.0
2017-07-17,102000.0,6989900.0,68.3,69.2,68.0,68.3, 0.00,83.0
2017-07-18,75000.0,5113700.0,68.0,68.7,68.0,68.1,-0.20,55.0
2017-07-19,90000.0,6140000.0,68.1,68.4,68.0,68.1, 0.00,64.0
2017-07-20,57000.0,3897400.0,68.7,68.7,68.1,68.2,+0.10,52.0
